pl_orbper,pl_rade,pl_bmasse,st_teff,st_rad,st_mass,discoverymethod
10.1997,,,5340.0,0.97,,Transit
4.20507412692,3.32404522,,5086.0,0.877822,,Transit
4.20566,,,5006.0,0.9,,Transit
9.7051,,,5090.0,1.24,,Transit
13.7579,,,4860.0,0.76,,Transit
1.337116,11.5,,,0.66,,Transit
1.33711677,12.498035,783.76878,,0.7033,0.727,Transit
1.33711569,11.85,,,0.6629,,Transit
1.33711405,,,4459.0,0.763091,0.699,Transit
1.3371182,12.823,790.41,4645.0,0.713,0.74,Transit
1.3371164,,,,,,Transit
1.33711647,14.056086,785.0401,4645.0,0.776,0.743,Transit
1.337116553,12.89035,826.358,4645.0,0.713,0.74,Transit
1.33711644,,,4645.0,,,Transit
1.33711647,14.056,792.635,4645.0,0.776,0.743,Transit
1.337,,,4459.0,0.763091,0.699,Transit
1.337116562,,,4645.0,0.713,0.74,Transit
1.33711716,,,4645.0,0.713,0.74,Transit
4.15917,13.18,,,1.188,,Transit
4.1591496,,,5350.0,1.15,1.084,Transit
4.15915035,,,5350.0,1.15,1.084,Transit
4.1591409,,359.1479,5576.0,1.15,1.026,Transit
4.15810694,,,5576.0,1.11133,0.984,Transit
4.1591492,,,5552.0,1.137,1.04,Transit
4.1,,,5565.0,,,Transit
4.1591282,12.71,370.0,5576.0,1.11133,0.984,Transit
4.1591287,12.77,341.0,5576.0,1.15,1.04,Transit
4.159152,12.251,357.0,5476.0,1.144,1.01,Transit
4.15914806,,,,,,Transit
4.1591492,12.64,363.6,5552.0,1.137,1.04,Transit
4.1591488,12.1616,,5576.0,1.11,,Transit
4.159151,12.86,374.0,,1.156,1.058,Transit
4.1591289,12.63,363.1,5552.0,1.137,1.04,Transit
4.1591739,10.5,,5427.0,0.86,,Transit
4.1591399,12.89,362.311,5350.0,1.15,1.084,Transit
4.16071,12.9,383.0,5576.0,1.16,1.11,Transit
4.159221,12.3,,5950.0,1.1,1.003,Transit
4.465633,14.5717,181.48093,5900.0,1.06,1.01,Transit
4.466,,,6070.0,1.09036,1.134,Transit
4.46563013,,,5960.0,1.06,1.01,Transit
4.465633,14.572,181.155,5960.0,1.06,1.01,Transit
4.4656299,,,5960.0,1.06,1.01,Transit
4.46659676,,,6070.0,1.09036,1.134,Transit
4.46563432994,14.64677635,,6070.0,1.09036,,Transit
4.4656291,14.964015,199.27941,6070.0,1.102,1.162,Transit
4.465635,14.8,,,1.11,,Transit
4.4656294,,,,,,Transit
4.4656243,14.73,,,1.072,,Transit
4.46563,14.90797,193.8763,5900.0,1.09,1.11,Transit
2.48450535,,,6089.0,1.27553,1.14,Transit
2.4841987,,,6100.0,1.26,1.14,Transit
2.4841905,15.6,,6090.0,1.39,1.18,Transit
2.4841981,15.54,,,1.322,,Transit
2.48419726,,,,,,Transit
2.4841975,13.3413,,6089.0,1.28,,Transit
2.484193,14.235,340.06,6100.0,1.26,1.14,Transit
2.484193,14.23543,341.03159,6100.0,1.26,1.14,Transit
2.4841939,11.8,,5994.0,1.13,,Transit
2.4841976,,,6100.0,1.26,1.14,Transit
10.05443,1.44,,3841.0,0.371,0.414,Transit
10.05460031054,2.11286662,,3920.0,0.550856,,Transit
10.054626,2.25,6.47,3835.0,0.6,0.62,Transit
10.0546535,2.078,5.11,3844.0,0.546,0.549,Transit
10.05454,2.29,6.6,3835.0,0.6,0.62,Transit
10.054626,,6.48,3896.0,0.561,0.601,Transit
10.05403,2.14,,3896.0,0.561,0.601,Transit
10.05448,1.98,,3951.0,0.52,0.53,Transit
10.05176778,,,3920.0,0.550856,0.546024,Transit
10.05429,2.078,8.4,,0.553,0.612,Transit
10.05449,2.18,,3896.0,0.56,0.6,Transit
10.054626,2.14,6.48,3896.0,0.561,0.601,Transit
10.05467,1.45,,,0.371,,Transit
10.054544,2.08,,,0.561,,Transit
10.05403,2.14,8.1,3896.0,0.561,0.601,Transit
10.054374,2.4,,3927.0,0.58,,Transit
24.645013,1.9,,3927.0,0.58,,Transit
24.6491,1.644,2.1,,0.553,0.612,Transit
24.64354,1.85,,3896.0,0.56,0.6,Transit
24.6435,1.18,,3841.0,0.371,0.414,Transit
24.646582,1.72,2.14,3896.0,0.561,0.601,Transit
24.646729,1.582,2.68,3844.0,0.546,0.549,Transit
24.646582,1.69,3.3,3835.0,0.6,0.62,Transit
24.64638,1.77,3.1,3835.0,0.6,0.62,Transit
24.646582,,2.14,3896.0,0.561,0.601,Transit
24.64671,1.18,,,0.371,,Transit
24.64638,1.69,,,0.561,,Transit
24.64745,1.56,,3951.0,0.52,0.53,Transit
24.6454,1.72,4.2,3896.0,0.561,0.601,Transit
24.6454,1.72,,3896.0,0.561,0.601,Transit
44.55612,,,3920.0,0.550856,0.546024,Transit
